sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-R-1,logZ-err-tensor-R-1,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-vector-R-1,logZ-err-vector-R-1,logZ-vector-N-0,logZ-err-vector-N-0,logZ-scalar-N-0,logZ-err-scalar-N-0,logZ-scalar-P-1,logZ-err-scalar-P-1,searched-prob-tensor,area-50-tensor,area-90-tensor,searched-prob-vector,area-50-vector,area-90-vector,searched-prob-scalar,area-50-scalar,area-90-scalar,ra-cdf-tensor,dec-cdf-tensor,ra-cdf-vector,dec-cdf-vector,ra-cdf-scalar,dec-cdf-scalar
131,966493741.9519181,1.877864957,0.249127805,4.079985028,7.457479736,2.137721576,8.765280108362237,19,-3.4554737568512586,0.005916041835438291,-3.172629934698422,0.0072590474726142214,-3.4586373599247944,0.00592361299113403,-3.1522232613325865,0.006872639161946618,-3.490074662746702,0.006030870723210757,-2.884254843900706,0.0038811585987381663,0.6136387423064024,16459.572874350637,34125.783189271904,0.3875373891395007,16307.871552007591,34479.45201761755,0.06799904275590196,17616.654349607743,35077.30383055655,0.2774725274725275,0.6487441130298273,0.2842862854858057,0.6201519392243102,0.2848101265822785,0.6119462025316456
132,966494664.1195288,1.453856945,0.975162089,5.779295775,2.79314449,0.282030021,6.425064725720315,34,-5.225230994963566,0.010256671019644923,-4.006764093083082,0.009762415322986344,-5.195914719951309,0.01046622863917066,-4.002626417941202,0.009751364945127796,-5.19409026591789,0.009924667235766384,-4.660354884406038,0.010815167486984191,0.40666807323789667,13967.140694237618,32729.99312689507,0.6783874065810517,12475.78026037923,31537.347933961213,0.34211051272930326,9286.270181544833,27531.359910813553,0.2425295343988881,0.9232105628908964,0.2847612359550562,0.9167837078651685,0.3767605633802817,0.9214517876489707
133,966495366.6819708,0.7850949759999999,-0.8217856290000001,8.709401515,11.512044001,9.210688288,17.12359806142228,62,-10.63537409236023,0.07891392179423742,-7.713082807171006,0.0247329363483829,-14.871182844562691,0.04146786023814491,-6.242307572002567,0.01787325797768713,-8.822751977633642,0.0441821021516462,-6.740193351361762,0.017052967921856992,0.9999999999993137,196.85461377283266,1294.0258131821727,0.987162378384366,888.9518667217493,3649.255697371322,0.06756045177318794,63.88552756711902,169.0319000845297,0.5004551661356396,0.07305416477014111,0.6305750350631136,0.054137447405329595,0.6746987951807228,0.3398858592263792
134,966496190.7463008,1.8427430390000001,0.973335803,7.0494940260000005,2.317705763,1.00732046,7.488779642611186,24,-3.595910079396098,0.005769602687039376,-3.211982258536128,0.00639541437568791,-3.563320654091353,0.005691900943718431,-3.1765880258014585,0.005851062055723388,-3.5450328022669337,0.005510765102808871,-3.3287974768331328,0.005858681510543041,0.04362526581394989,16654.999672595273,34209.349482016325,0.18297953117559418,17820.012213695743,35132.48891172406,0.07452363145866274,17564.509983827946,35002.209690173506,0.2901639344262295,0.9118852459016393,0.30374421539755997,0.9099705511148507,0.3226591001216052,0.9160924199432509
135,966497113.5732387,4.453083992,0.21492010399999997,7.26311906,7.2140146629999995,7.337883897999999,12.59521520809557,32,-5.7422985931680515,0.010896405004370028,-4.378841781047348,0.009274901884821586,-5.795283355672679,0.010035376003483698,-4.366444368959031,0.009420656204626215,-5.680137233649127,0.01159981249617324,-4.189452625805586,0.008425069345373713,0.9964952512305022,7718.313377710156,26558.935118020054,0.09384692729530604,8518.038072730384,27034.437618037755,0.008570859306165359,5585.85325068611,19990.513248738233,0.7494717778448536,0.702988228191971,0.72286518611198,0.6809508914607445,0.7301550023485204,0.8027242837012682
136,966498007.5125188,5.66384697,0.698318422,0.012101416,0.307418807,4.373188208,4.383996791713785,26,-3.9240733287307146,0.007059146641220572,-3.472617124329605,0.007363627035107868,-3.936417487940656,0.007127082648978341,-3.5480400813182937,0.007651067819171479,-4.033962670467575,0.007527379468976205,-3.338127915781147,0.007009272170552279,0.7905602105509032,15171.034162770135,33361.35457029192,0.9397737557256042,13649.186312051379,32033.212116181996,0.996952009461835,13141.233474662398,31908.700137617474,0.9209737827715356,0.8149812734082397,0.8922906676503135,0.8244190335669495,0.8899240855762595,0.831608005521049
137,966498847.8415098,3.911570072,0.787592828,10.601943276,12.131577786,7.02041904,17.574489019669528,50,-7.008673005521117,0.021024034592772137,-5.988825245249017,0.022366477320089798,-5.813479032059469,0.01794405915206457,-5.53068367743348,0.015106737717229963,-6.332209212134375,0.021419591917806,-5.046962807271622,0.009821221464061338,0.9995112165363109,1468.6274382721533,5018.327182418799,0.41617017784302324,1964.2396698416376,7052.838745337407,0.8794210392860224,751.8351655602625,1865.6256890147577,0.8119239631336406,0.9305875576036866,0.4222829386763813,0.9137826350941105,0.6735419630156472,0.8307254623044097
138,966499712.8599964,6.091360092,0.1085236,4.3347713610000005,0.12389893,6.450517935,7.77269421286838,24,-4.11031819089651,0.007856244002328323,-3.513985570570407,0.00788344868323507,-4.161883451325723,0.007910274162580843,-3.5009320368063257,0.007910735131614105,-4.144169335878717,0.007925582597183317,-3.3651990054099885,0.0071260551135731345,0.02947938530801385,14309.802019647868,33056.78469363846,0.18415062955079217,15375.56340360874,34208.32763152332,0.11200302792023308,13343.32741610523,32538.183180480075,0.954578488372093,0.5188953488372093,0.9696748264523201,0.4789915966386555,0.9537401574803149,0.4284776902887139
139,966500529.4975357,2.876631021,0.5500385760000001,7.078291027000001,3.1743794210000003,3.080980116,8.34693518883215,24,-6.197012987245433,0.009289424312051736,-4.112403448779803,0.009490236133303027,-6.27879016857709,0.0108505669361959,-4.13434815127651,0.010156546063423925,-6.1005336500988765,0.010818680526592999,-5.663888617829367,0.009220729553379181,0.6748173777623632,8460.60194701563,24983.079868357137,0.6266601374943296,7411.148970433131,24179.292965949124,0.6831928740533478,4921.971246096673,18779.831336329924,0.38011695906432746,0.7530864197530864,0.3064367108099784,0.7542346781644595,0.28608470181503887,0.8314606741573034
140,966501316.5649843,4.715135098,1.0071870090000001,5.712636723999999,10.033157537000001,8.200079882,14.161206819118014,30,-6.480123836139759,0.01783857453533077,-4.956025112921756,0.012219598358930205,-7.142029822900658,0.014889950783332176,-4.956657704890693,0.010823415214666779,-6.345153603680275,0.017106144465384245,-4.318816012465101,0.008419819652220526,0.9062742874778712,3426.5076713361645,14796.023170668648,0.5344725069743256,4849.890403234093,18919.950600367672,0.01277694429704827,1658.3146919124422,8860.113251053763,0.9243578887948066,0.9429861699125035,0.6425824175824176,0.8865384615384615,0.7684045647795927,0.7471470127545312
