sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-R-1,logZ-err-tensor-R-1,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-vector-R-1,logZ-err-vector-R-1,logZ-vector-N-0,logZ-err-vector-N-0,logZ-scalar-N-0,logZ-err-scalar-N-0,logZ-scalar-P-1,logZ-err-scalar-P-1,searched-prob-tensor,area-50-tensor,area-90-tensor,searched-prob-vector,area-50-vector,area-90-vector,searched-prob-scalar,area-50-scalar,area-90-scalar,ra-cdf-tensor,dec-cdf-tensor,ra-cdf-vector,dec-cdf-vector,ra-cdf-scalar,dec-cdf-scalar
90,966459394.1102189,4.415417194,0.530649424,14.352643977,11.75734218,8.205857978,20.287177956118683,82,-8.986282126081568,0.033270777625755144,-6.427028608459322,0.01501470328711966,-9.706196662492177,0.030885483905546615,-6.217238384911603,0.021006675959026215,-11.141365404895348,0.05978335319732427,-8.21389748154432,0.024752800624395083,0.5139588920254489,1124.6480247726265,3322.81586881523,0.6235375299960354,820.2210681938665,2528.1274075784213,0.9968635981065341,120.29360005486214,525.807701787657,0.42559014710913445,0.9449196031474513,0.5609432082364663,0.9647957489206244,0.6541111621497474,0.9873679375287092
91,966460209.4674445,4.611529827,-0.551486313,27.199333864,32.128075988,3.962136319,42.28138542605219,97,-11.530982707519055,0.011900768762762809,-8.202020292951092,0.01590960047599473,-7.24910877668479,0.024364196467358944,-6.603789380178834,0.02262137322945315,-20.218721510293918,0.08335166654943668,-5.183617023530776,0.012629593981087697,0.9999999999999996,190.78986229221846,565.1203555333069,0.20482906243335774,613.3745732233796,1563.6166992549897,0.9999999999999982,23.019789594496622,92.08304534015879,0.9188747137716716,0.03173045469414459,0.7943368107302533,0.4932935916542474,1.0,0.00155659328441183
92,966461173.0153859,3.499650002,-0.234428197,9.699459912,13.577072765,10.524793391000001,19.727840818848804,63,-13.730127385143817,0.04943639363395644,-7.1827488700385835,0.02585529552177464,-9.56167598280995,0.056382324029766104,-6.790053421010118,0.021146300738240587,-15.509041073632936,0.03865928311528518,-8.881831250254846,0.0444284921490259,0.08109755346208303,478.9901134031479,1721.4072744547552,0.08409139074209387,559.1237342721697,1964.2159955633813,0.9999999999999999,66.54535180402529,552.987411569503,0.38163037409268563,0.4316024567280849,0.26767537826685006,0.7557083906464924,0.0478384124734231,0.303508150248051
93,966461860.8809127,2.233896971,-0.527740598,8.986730518,8.411710282,2.573888087,12.575495821471915,29,-6.0353704782147055,0.018649473570313786,-4.740056800021591,0.013162291276114997,-6.795743750691212,0.012254943116429743,-4.919328842179108,0.0160640539676535,-6.978011309239668,0.025452081271835916,-4.858617789916266,0.01119920651093799,0.7004470518101671,2997.6715729836687,11230.612269445559,0.874798735850265,2727.5998625253196,10932.113413827654,0.8974930322427045,634.369704478537,2158.994814028315,0.3559322033898305,0.30834419817470665,0.27185340943226194,0.3066987083208171,0.08776941054271618,0.20851726824201505
94,966462826.3137631,4.577453136,-0.482381403,27.942505220999998,26.772503545,20.439176396,43.764260256966,101,-52.85825814280429,0.3000121468048494,-30.44086874571399,0.1469791099983563,-74.14890136002234,0.18721341901009697,-7.784646435577198,0.04712278764854292,-57.130950997759555,0.13384811930781673,-31.525100911896182,0.10724802589311977,0.9999999999999999,1.6428192972835118,5.461325066146362,0.4801723170082227,179.13598765750234,425.3302636679013,0.9999999999999947,1.8640543645040133,6.495340761301423,0.9921579232017307,0.0,0.4938181818181818,0.1429090909090909,1.0,0.9920403289997347
95,966463541.1546702,3.227312088,-0.09027519099999999,14.063814561,12.585137814000001,5.21798147,19.580702347587835,62,-8.029979748117801,0.038823613900421494,-6.194714232589694,0.01546391636386487,-7.955413851771872,0.032727327215537075,-6.0720920691680345,0.015552469482030136,-9.351545029630751,0.04610949647358657,-4.485245941754793,0.011731479903392803,0.9828133224786929,1379.9708302555857,4673.40294630733,0.6425196992626075,1461.8354948980032,4719.466863246919,1.0,149.69814759085483,496.0529996314997,0.3974010275007555,0.5119371411302508,0.6351351351351351,0.5905091137649278,0.27872031022782356,0.28138633058652446
96,966464367.1004369,2.95332408,0.49938881399999996,6.561551528,10.863319461,10.253336667000001,16.315531893664613,48,-12.715371265807462,0.03689444240267034,-6.20640214152219,0.019685860263882318,-12.45255381792313,0.05724268725210403,-6.586607123583081,0.019499192895568333,-11.841469767499389,0.08410571035946224,-6.820855269109165,0.016805131566859654,0.9880136463883927,1081.712200543774,4839.564230872493,0.5562871200596122,924.2571392622712,3718.1887379867244,0.9998268483643078,42.96640347376407,589.7276600477395,0.8542940707258708,0.7654879021536826,0.5510416666666667,0.7604166666666666,0.5903656212094958,0.4181251083001213
97,966465299.348835,2.977641106,0.281923413,10.957017142,11.444506768,12.514665165999999,20.190339373818695,68,-16.973344523376852,0.05132778594451246,-6.43564401500454,0.021063536031469304,-10.049237383249807,0.035081562516188214,-6.758600785374117,0.022387689321767323,-18.380198509751775,0.09822249520496416,-10.230721638279402,0.018048845778497972,0.9999999999173903,1032.4324226393207,3153.505984049022,0.1750505128742839,648.1177191218654,1922.5144357612264,0.9999999999999979,18.08754125259143,62.58176218126613,0.4072116879079888,0.5601492073360274,0.5670773442847364,0.6430527036276523,0.02319004524886878,0.027997737556561087
98,966466087.3538438,3.41188097,-0.325450808,15.634623942000001,18.01420868,7.672391693,25.05631206832247,88,-11.456153028082525,0.04705020794014157,-8.74204016630674,0.025836599176641068,-15.820003167660717,0.05297271651647926,-7.914074516880027,0.028041879230461347,-16.960558499025765,0.05177039101450025,-9.095025596060973,0.036753401808807026,0.9912183982348711,275.7375993267398,1157.4939727490184,0.6529586576341908,128.0621890863619,599.1338273669886,0.9999999999999978,69.84934619948645,316.60859725770297,0.4683262947321627,0.26894865525672373,0.3126442677609643,0.6463195691202872,0.08315519452757589,0.33988884138520736
99,966466987.3090056,2.509705067,1.025519013,2.9034476469999997,7.8483529260000005,4.302185584,9.4093279616081,24,-4.878918320651181,0.010242013276727685,-4.00484519342766,0.010270106275970815,-4.828221454579063,0.010785062584622546,-3.8983438009696783,0.00983446121973712,-4.819143149519119,0.010217611569158978,-3.3461944464393087,0.006885511176959352,0.36065640859751485,7669.980527419796,19747.61919237334,0.12427938585050748,8701.007491238166,23871.603796652213,0.9987757773785507,5637.766867626155,16318.50891793519,0.57859881491809,0.8888114325548971,0.5064889512451771,0.919677306208348,0.5888996450467893,0.8205872862213617
